1035259;3;;;17.15;;2019-03-09 23:06:41;4008146018893;4805;;1
1036779;0;;;22.5;;2019-03-09 23:06:41;5055387600249;SP.8EF08GC01;;1
1002386;2;;;267.24;93234;2019-03-09 23:06:41;3519280185910;18591F;;1
1005339;0;;;190.0;;2019-03-09 23:06:41;9876540002436;ORIFLAMMEPC;;1
1116842;15;;;333.9;1042509;2019-03-09 23:06:41;4013833026907;55VLX7810BP;;1
120049;0;;;2.3;88196;2019-03-09 23:06:41;3304810101405;PCJ6FG;;1
1002850;0;;;26.8;;2019-03-09 23:06:41;3760054540521;MTV500E;;1
1023987;0;;;48.15;1090845;2019-03-09 23:06:41;4974019756011;R200INW;;1
1126222;0;;;17.1;;2019-03-09 23:06:41;9120072371073;REPEATER300P;;10
115073;0;;;0.4;;2019-03-09 23:06:41;3179503175007;950317K05;;50
25252;0;;;18.0;;2019-03-09 23:06:41;3185280018628;E001862;;1
1134750;0;;;2268.9;;2019-03-09 23:06:41;8003437799594;ADN218;Sur commande;1
1133564;0;;;83.03;55293;2019-03-09 23:06:41;3045380014688;ME452800;;1
1131144;0;;;3263.65;;2019-03-09 23:06:41;2900000008410;RANGERNEO+;Sur commande;1
1118696;2;;;107.1;53192;2019-03-09 23:06:41;7332543614790;LFG525S;;1
1118625;4;;;441.9;121591;2019-03-09 23:06:41;7332543598595;EOC6631TOX;;1
1024671;0;;;243.9;;2019-03-09 23:06:41;8020283037687;PRF0097373;Sur commande;1
1026207;0;;;449.1;;2019-03-09 23:06:41;8003437395079;KMQCX38600;Sur commande;1
1104275;0;29;22.03;157.5;;2019-03-09 23:06:41;8690842029004;BIE26100XCS;;1
1119721;9;;;11.54;;2019-03-09 23:06:41;4008146028960;3640;;1
1136079;0;;;751.5;;2019-03-09 23:06:41;8020283046337;PRF0146246;Sur commande;1
1036417;7;;;26.24;;2019-03-09 23:06:41;8710103775805;HD9348.10;;1
1119846;0;;;88.88;;2019-03-09 23:06:41;2170000120102;VACA32B0;;1
120400;5;;;88.56;;2019-03-09 23:06:41;5413184160593;5KMT221EER;;1
123274;1;;;298.8;49199;2019-03-09 23:06:41;4242003650042;LC97BE532;;1
95187;0;;;206.37;;2019-03-09 23:06:41;3528090080506;EPS100R;;1
1038485;0;;;2245.5;;2019-03-09 23:06:41;3046171904003;PACKR110EIAUB;Sur commande;1
1054070;2;;;58.88;;2019-03-09 23:06:41;3576160017761;BTH320;;1
1017817;2;;;454.5;;2019-03-09 23:06:41;4242003672549;HB672GBW1F;;1
2659;0;;;276.4;;2019-03-09 23:06:41;3608500142847;LECVGK2FS;;1
1040254;13;;;42.64;;2019-03-09 23:06:41;4210201163305;300BK;;1
8877;26;;;170.1;54758;2019-03-09 23:06:41;8003437945571;ARC104A+;;1
1116947;11;;;129.6;;2019-03-09 23:06:41;3260449043533;AV3540C;;1
1042459;0;;;448.2;;2019-03-09 23:06:41;4242003742525;EP7A6QB20;Sur commande;1
1036153;2;;;99.61;119712;2019-03-09 23:06:41;3045380011632;P4624803;;1
3942;0;;;35.42;;2019-03-09 23:06:41;4010056134297;OA38H;;1
1035702;3;;;288.0;1024700;2019-03-09 23:06:41;8020283038202;PRF0100993B;;1
1005222;0;;;27.0;;2019-03-09 23:06:41;9876540002221;TSHIRTFBMEX;;1
1087363;0;;;1728.0;;2019-03-09 23:06:41;5028683167846;COLCLA110BLC;Sur commande;1
1038006;0;;;2166.3;;2019-03-09 23:06:41;0757638343626;ORE24VGFWW;Sur commande;1
92005;0;;;31.6;;2019-03-09 23:06:41;8425988230089;MX046;;1
1041881;1;;;26.6;;2019-03-09 23:06:41;3046171904027;FUNNYFAN2B;;1
1123609;1;;;98.1;1053506;2019-03-09 23:06:41;8054383963102;GHP941BK;;1
1010704;4;;;54.0;;2019-03-09 23:06:41;3700460202538;M970DP;;1
79085;1;;;507.6;97683;2019-03-09 23:06:41;3660767902183;DRS1133J;;1
1068501;1;;;2717.95;;2019-03-09 23:06:41;3244330121197;C077FF-02-HE12;;1
1033758;0;;;7.29;;2019-03-09 23:06:41;3528090423204;FHPSMFHPSM5;;1
1040771;9;;;25.2;;2019-03-09 23:06:41;5025232858767;KXTGC420FRW;;1
1118;0;;;1183.7;;2019-03-09 23:06:41;3596150019032;363102S;;1
94301;0;;;8.5;;2019-03-09 23:06:41;5413424425406;MASKLWH;;1
1107687;0;;;572.4;1018376;2019-03-09 23:06:41;4242005056828;HBB578BB0;Sur commande;1
88171;0;;;1.94;;2019-03-09 23:06:41;3304810005826;PA3RS;;1
1032799;16;;;355.5;53008;2019-03-09 23:06:41;3660767954656;BCM6653W;;1
121414;5;;;236.7;91830;2019-03-09 23:06:41;4016803028376;KTS166;;1
1069176;6;;;139.5;1041159;2019-03-09 23:06:41;5025232869787;NNGD38HS;;1
99194;1;;;1220.75;;2019-03-09 23:06:41;3101790045909;CO77GH.03.DA;;1
1605;0;;;21.87;;2019-03-09 23:06:41;8021156014538;9000230;;1
1107700;3;;;137.7;97618;2019-03-09 23:06:41;4242005031450;DWP64BC50;;1
109743;0;;;1715.4;;2019-03-09 23:06:41;8017709184278;TR4110AZ;Sur commande;1
1134733;0;;;6912.0;;2019-03-09 23:06:41;8003437977664;ALA025;Sur commande;1
1033181;2;;;438.3;90121;2019-03-09 23:06:41;7332543448197;EOC5841FOX;;1
1121891;0;;;314.1;;2019-03-09 23:06:41;5420035212387;CONCEPT1T;;1
1017172;5;;;457.2;1004415;2019-03-09 23:06:41;4002515619001;G4922EXTRACLEAN;;1
1116952;1;;;129.6;;2019-03-09 23:06:41;3260449043496;AI2527C;;1
1032990;2;;;577.8;;2019-03-09 23:06:41;4242003732120;WM14W750FF;;1
56308;3;;;31.34;;2019-03-09 23:06:41;8710103536055;HQ9.50;;1
1094874;0;;;140.4;;2019-03-09 23:06:41;5709009002958;S807WH;Sur commande;2
1041896;1;;;11.7;;2019-03-09 23:06:41;3700460200541;M16CR;;1
1107891;0;;;12.64;;2019-03-09 23:06:41;8710103738992;HP8204.10;;1
